구분,자격증구분,점수
일반자격,선택하세요,0
일반자격,국가기술자격증(기사이상),70
일반자격,국가기술자격증(산업기사),68
일반자격,국가기술자격증(기능사),66
일반자격,"일학습병행자격증(L6,L5)",70
일반자격,"일학습병행자격증(L4,L3)",68
일반자격,일학습병행자격증(L2),66
일반자격,일반자격증(공인),64
일반자격,일반자격증(비공인),62
일반자격,자격증 미소지,60
전문자격,선택하세요,0
전문자격,국가기술자격증(기사이상),50
전문자격,국가기술자격증(산업기사),45
전문자격,국가기술자격증(기능사),40
전문자격,"일학습병행자격증(L6,L5)",50
전문자격,"일학습병행자격증(L4,L3)",45
전문자격,일학습병행자격증(L2),40
전문자격,일반자격증(공인),30
전문자격,일반자격증(비공인),26
전문자격,대형/특수,50
전문자격,1종보통,45
전문자격,2종보통(수동),40
전문자격,자격증 미소지,20
대학교,선택하세요,0
대학교,4학년 수료이상,40
대학교,4학년 재학,38
대학교,3학년 수료,36
대학교,3학년 재학,34
대학교,2학년 수료,32
대학교,2학년 재학,30
대학교,1학년 수료,28
대학교,1학년 재학,26
대학교,비전공,20
전문대,3학년 수료,40
전문대,3학년 재학,38
전문대,2학년 수료,36
전문대,2학년 재학,34
전문대,1학년 수료,32
전문대,1학년 재학,30
전문대,비전공,20
고졸,전공,34
고졸,비전공,20
기타,직업전문학교/인력개발원 2년수료,32
기타,직업전문학교/인력개발원 1년이상 수료,30
기타,직업전문학교/인력개발원 6개월이상 수료,26
기타,학점은행제 40점이상(학사),28
기타,학점은행제 40점이상(전문학사),32
기타,학점은행제 80점이상(학사),32
기타,학점은행제 80점이상(전문학사),36
기타,학점은행제 120점이상(학사),36
기타,학점은행제 120점이상(전문학사),40
기타,학점은행제 140점이상(학사),40
일반결석일,선택하세요,0
일반결석일,0일,20
일반결석일,1-2일,19
일반결석일,3-4일,18
일반결석일,5-6일,17
일반결석일,7일이상,16
전문결석일,선택하세요,0
전문결석일,0일,10
전문결석일,1-2일,9
전문결석일,3-4일,8
전문결석일,5-6일,7
전문결석일,7일이상,6
가산점1,병역진로설계 지원자,1
가산점1,다자녀(3) 가정 자녀,4
가산점1,다자녀(2) 가정 자녀,2
가산점1,"지정특기(방공포,군사경찰,조리)",4
가산점1,화생방 직종(운전면허-2종보통이상),4
가산점1,항공정비사(기사급) 또는 항공정비 기초인력 인증서,4
가산점1,질병치료에 따른 병역처분변경,4
가산점1,국외이주자 중 현역병복무지원자,4
가산점1,독립유공자 손.자녀 또는 국가유공자 자녀,4
가산점1,생계급여 수급권자,4
가산점1,"한국사능력검정(3,4급)",1
가산점1,"한국사능력검정(1,2급)",2
가산점1,"한국어능력검정(3,4급)",1
가산점1,"한국어능력검정(1,2급)",2
가산점1,"토익(520~),토플(59~),텝스(201~)",1
가산점1,"토익(730~),토플(82~),텝스(277~)",2
헌혈,선택하세요,0
헌혈,1회,1
헌혈,2회,2
헌혈,3회,3
헌혈,4회,4
헌혈,5회,5
헌혈,6회,6
헌혈,7회,7
헌혈,8회,8
봉사시간,선택하세요,0
봉사시간,8~15시간,1
봉사시간,16~23시간,2
봉사시간,24~31시간,3
봉사시간,31~39시간,4
봉사시간,40~47시간,5
봉사시간,48~55시간,6
봉사시간,56~63시간,7
봉사시간,64시간이상,8
