입영월,특기,커트라인,선발인원,
22년8월,일반,82,1120,
22년9월,일반,76,1155,
22년10월,일반,76,722,
22년12월,일반,76,477,
23년1월,일반,82,1364,
23년2월,일반,86,1440,
23년3월,일반,89,1396,
23년4월,일반,91,1427,
23년5월,일반,91,1418,
23년7월,일반,85,1389,
23년8월,일반,82,1361,
22년8월,전자계산,84,26,
22년9월,전자계산,85,18,
22년10월,전자계산,70,84,
22년12월,전자계산,85,15,
23년1월,전자계산,62,146,
23년2월,전자계산,65,143,
23년3월,전자계산,70,146,
23년4월,전자계산,76,153,
23년5월,전자계산,65,150,
23년7월,전자계산,66,119,
23년8월,전자계산,84,86,
22년8월,화생방,52,69,
22년9월,화생방,54,37,
22년10월,화생방,60,19,
22년12월,화생방,56,13,
23년1월,화생방,58,61,
23년2월,화생방,65,64,
23년3월,화생방,68,64,
23년4월,화생방,70,64,
23년5월,화생방,69,67,
23년7월,화생방,56,71,
23년8월,화생방,58,75,
22년8월,의무,100,4,
22년9월,의무,0,0,
22년10월,의무,71,6,
22년12월,의무,91,3,
23년1월,의무,73,14,
23년2월,의무,75,13,
23년3월,의무,80,13,
23년4월,의무,78,13,
23년5월,의무,81,14,
23년7월,의무,75,14,
23년8월,의무,72,14,
22년8월,기계,46,123,
22년9월,기계,54,94,
22년10월,기계,53,66,
22년12월,기계,57,69,
23년1월,기계,53,229,
23년2월,기계,52,394,
23년3월,기계,60,243,
23년4월,기계,48,383,
23년5월,기계,53,363,
23년7월,기계,49,221,
23년8월,기계,49,138,
22년8월,차량운전,79,379,
22년9월,차량운전,82,137,
22년10월,차량운전,71,352,
22년12월,차량운전,77,157,
23년1월,차량운전,80,433,
23년2월,차량운전,81,456,
23년3월,차량운전,83,456,
23년4월,차량운전,85,455,
23년5월,차량운전,85,458,
23년7월,차량운전,83,377,
23년8월,차량운전,82,300,
22년8월,차량정비,55,26,
22년9월,차량정비,59,11,
22년10월,차량정비,56,9,
22년12월,차량정비,56,7,
23년1월,차량정비,52,33,
23년2월,차량정비,54,62,
23년3월,차량정비,52,62,
23년4월,차량정비,55,62,
23년5월,차량정비,54,62,
23년7월,차량정비,56,39,
23년8월,차량정비,56,23,
22년8월,통신전자전기,46,488,
22년9월,통신전자전기,46,426,
22년10월,통신전자전기,47,201,
22년12월,통신전자전기,46,174,
23년1월,통신전자전기,56,489,
23년2월,통신전자전기,59,536,
23년3월,통신전자전기,64,441,
23년4월,통신전자전기,64,530,
23년5월,통신전자전기,61,527,
23년7월,통신전자전기,57,429,
23년8월,통신전자전기,46,400,
22년8월,공병,46,114,
22년9월,공병,47,56,
22년10월,공병,46,22,
22년12월,공병,46,14,
23년1월,공병,46,91,
23년2월,공병,52,96,
23년3월,공병,57,74,
23년4월,공병,59,96,
23년5월,공병,53,95,
23년7월,공병,0,0,
23년8월,공병,0,0,
