특기번호,특기,2023년도 입영계획 유/무
121.101,K계열전차승무,있음
121.102,M계열전차승무,있음
122.101,K계열전차부대정비,없음
122.102,K계열전차포탑정비,없음
122.103,M계열전차부대정비,없음
122.104,M계열전차포탑정비,없음
122.105,전차통신정비,있음
123.101,장갑차조종,있음
123.102,장갑차부대정비,있음
123.103,K-21보병전투차량승무,있음
123.104,K-21보병전투차량부대정비,있음
131.101,견인포병,없음
131.102,155mm 견인포병,없음
131.103,155mm자주포병,없음
131.104,K-55자주포조종,있음
131.105,견인포정비,없음
131.106,K-55자주포정비,없음
131.107,K-9자주포조종,있음
131.108,K-9자주포화포/장갑정비,없음
132.101,다련장운용/정비,없음
132.102,K239포병,있음
132.103,M/A포병,있음
133.101,M/A사격지휘전산,없음
133.103,사격지휘,있음
133.104,155mm사격지휘,없음
133.105,로켓포 사격지휘,없음
133.106,포병레이더,있음
133.107,포병측지,있음
133.108,포병탐지레이더,없음
133.109,자동측지운용/정비,없음
134.101,현무포병,있음
134.102,현무사격통제장비운용/정비,없음
135.101,포병기상,없음
141.101,발칸운용/정비,있음
141.102,오리콘운용/정비,있음
141.103,비호운용/정비,있음
141.104,방공작전통제,있음
141.105,휴대용유도무기운용/정비,있음
141.106,천마운용/정비,있음
141.107,천호운용/정비,있음
142.101,발칸정비,없음
142.102,오리콘정비,없음
142.103,비호정비,없음
142.104,천마정비,없음
143.101,방공레이더운용/정비,있음
151.101,군사정보,있음
151.102,심리전,없음
151.103,정찰,없음
152.101,신호정보/전자전운용,있음
152.102,전자전운용,없음
152.103,땅굴탐지,있음
153.101,감시장비운용,있음
154.101,보안,없음
156101,드론운용및정비병,없음
161.101,야전공병,없음
161.102,장애물운용(M),없음
161.103,장애물운용(E),없음
161.104,야전건설,없음
162.101,측량,없음
162.102,소방장비,있음
162.103,배관/기계설비,있음
162.104,전기설비,있음
163.101,장갑전투도저운전,있음
163.102,다목적굴착기운전,있음
163.103,교량전차조종,없음
163.104,도하장비조종,있음
163.105,정수장비운용,있음
163.107,공기압축기운용,있음
163.108,크레인운용,있음
163.109,도저운용,없음
163.11,그레이더운용,없음
163.111,롤러운용,없음
163.112,로더운전,있음
163.113,굴착기운용,없음
163.114,발전기운용/정비,있음
163.115,공병장비부대정비,없음
163.116,장애물개척전차조종,없음
171.101,전술통신장비운용/정비,있음
171.102,무선전송장비운용/정비,있음
