입영월,군사특기명,입영부대,접수인원,지원인원,남은인원,커트라인
2023년1월,K계열전차승무,육군훈련소,27,62,35,46
2023년1월,M계열전차승무,육군훈련소,31,41,10,48
2023년1월,K계열전차부대정비,육군훈련소,20,31,11,46
2023년1월,M계열전차부대정비,육군훈련소,6,5,-1,0
2023년1월,장갑차조종,육군훈련소,54,57,3,46
2023년1월,장갑차부대정비,육군훈련소,12,35,23,58
2023년1월,K-21보병전투차량부대정비,육군훈련소,7,15,8,63
2023년1월,K-55자주포조종,육군훈련소,43,35,-8,56
2023년1월,K-9자주포조종,육군훈련소,48,58,10,46
2023년1월,K239포병,육군훈련소,38,35,-3,53
2023년1월,M/A포병,육군훈련소,5,9,4,56
2023년1월,사격지휘,육군훈련소,62,47,-15,54
2023년1월,포병레이더,육군훈련소,4,7,3,56
2023년1월,포병측지,육군훈련소,20,31,11,56
2023년1월,현무포병,육군훈련소,5,7,2,56
2023년1월,발칸운용/정비,육군훈련소,61,79,18,46
2023년1월,오리콘운용/정비,육군훈련소,20,36,16,46
2023년1월,비호운용/정비,육군훈련소,29,57,28,46
2023년1월,방공작전통제,육군훈련소,30,85,55,51
2023년1월,휴대용유도무기운용/정비,육군훈련소,17,72,55,52
2023년1월,천마운용/정비,육군훈련소,19,52,33,54
2023년1월,방공레이더운용/정비,육군훈련소,18,70,52,55
2023년1월,군사정보,육군훈련소,28,62,34,61
2023년1월,감시장비운용,육군훈련소,172,159,-13,52
2023년1월,야전건설,육군훈련소,38,50,12,54
2023년1월,소방장비,육군훈련소,15,45,30,60
2023년1월,배관/기계설비,육군훈련소,1,9,8,84
2023년1월,전기설비,육군훈련소,5,73,68,87
2023년1월,정수장비운용,육군훈련소,10,13,3,56
2023년1월,크레인운용,육군훈련소,5,9,4,61
2023년1월,발전기운용/정비,육군훈련소,12,20,8,58
2023년1월,공병장비부대정비,육군훈련소,2,1,-1,90
2023년1월,전술통신장비운용/정비,육군훈련소,242,283,41,52
2023년1월,무선전송장비운용/정비,육군훈련소,23,66,43,59
2023년1월,이동통신장비운용/정비,육군훈련소,17,21,4,46
2023년1월,교환시설운용/정비,육군훈련소,4,12,8,61
2023년1월,MW운용/정비,육군훈련소,13,86,73,84
2023년1월,네트워크운용/정비,육군훈련소,27,68,41,61
2023년1월,전술C4I운용/정비,육군훈련소,48,58,10,55
2023년1월,정보체계운용/정비,육군훈련소,46,63,17,56
2023년1월,항공운항/관제,육군훈련소,12,41,29,63
2023년1월,화생방,육군훈련소,8,43,35,64
2023년1월,연막,육군훈련소,10,45,35,65
2023년1월,화생방제독,육군훈련소,162,190,28,56
2023년1월,화생방정찰,육군훈련소,19,37,18,58
2023년1월,총기정비,육군훈련소,6,9,3,60
2023년1월,화포정비,육군훈련소,2,3,1,56
2023년1월,전차정비,육군훈련소,8,8,0,52
2023년1월,유선장비정비,육군훈련소,8,15,7,59
2023년1월,무선장비정비,육군훈련소,10,24,14,62
2023년1월,특수통신장비정비,육군훈련소,3,14,11,57
2023년1월,차량정비,육군훈련소,11,42,31,68
2023년1월,발전기정비,육군훈련소,7,17,10,60
2023년1월,용접/기계공작,육군훈련소,1,21,20,90
2023년1월,화생방장비정비,육군훈련소,4,11,7,61
2023년1월,탄약관리,육군훈련소,98,133,35,54
2023년1월,장비수리부속공구보급,육군훈련소,36,44,8,55
2023년1월,편성보급,육군훈련소,107,87,-20,52
2023년1월,영현등록,육군훈련소,4,8,4,58
2023년1월,지원보급,육군훈련소,44,68,24,56
2023년1월,연료관리,육군훈련소,35,38,3,52
2023년1월,물자근무지원,육군훈련소,15,31,16,56
2023년1월,조리,육군훈련소,269,151,-118,54
2023년1월,수송운용(차량운전),육군훈련소,834,1479,645,98
2023년1월,수송운용(차량운전),1사단,61,191,130,102
2023년1월,수송운용(차량운전),25사단,61,144,83,99
2023년1월,수송운용(차량운전),9사단,61,211,150,101
2023년1월,수송운용(차량운전),3사단,54,99,45,97
