Column1,Column2
K121101,"<div id=gunView><div class=bview_btn>
<div class=right><span class=button gray3>
</div></div>
<table class=notice_view><caption>군사특기 대한내용 설명표이며 특기, 병과, 직무개요 및 임무, 관련분야(직접, 간접), 신체사항, 지원자격, 지원부터 배치까지에 대한내용을 제공</caption>
<colgroup><col class=width_5p><col class=width_5p><col class=width_80p></colgroup><tbody><tr><th scope=row colspan=2>특기</th><td>K계열전차승무</td></tr><tr><th scope=row colspan=2>직무개요 및 임무</th>
<td><img src=/download/mjb/1/CAIS_HPIS_202008050401473360.jpg alt=K계열전차승무관련 사진 ><br>K-1 전차승무원으로서 전차를 조종하고, 전차포 사격을 실시하며 전차에 장착된 무전기 동작 및 승무원 정비를 실시
<br>- 각종지형에서 K-1(A1)전차를 조종(주간,야간)
<br>- 전차포 사격 및 공용화기 사격
<br>- 전차 탄약적재 및 탄약 장전 실시
<br>- 전차에 장착된 통신 장비를 조작
<br>- 전차차체 및 포탑에 대한 승무원 정비를 실시</td></tr><tr><th scope=rowgroup rowspan=2>관련분야</th><th scope=row>직접</th><td>기갑분야(전체)</td></tr><tr><th scope=row>간접</th><td>전계열분야</td></tr><tr><th scope=row colspan=2>신체사항</th><td>- 신체등급 2급 이상('22년 2월 입영부터는 신체등급 3급 이상으로 적용)
<br>- 신장 164cm ~ 180cm 이내('22년 2월 입영부터는 신장 159cm ~ 187cm 이내로 적용)
<br>- 나안시력 0.2 이상('22년 2월 입영부터는 교정시력 0.8 이상으로 적용)
<br>- 디스크/관절장애, 운동장애, 수지결손, 수지강직, 색각장애, 청력장애, 언어장애, 폐쇄공포증, 수전증, 2차 심리검사 결과 등 정밀검사 대상자 제외</td></tr><tr><th scope=row colspan=2>지원자격</th><td>○ 연령 : 지원서 접수년도 기준 18세이상 28세이하
<br>○ 신체등급 1~2급을 판정받은 현역입영대상자(신체등급 1 ~3급을 판정받은 현역입영 대상자 : '22년 2월 입영부터 적용)
<br>○ 자격/면허를 소지하였거나 자격/면허 미소지한 경우는 해당 전공학과 전문계 고교 3년이상 수료 또는 대학 1년재학 이상인 사람
<br>○ 수형사유 지원제한 요건
<br>◎ 금고이상의 형(집행유예 포함)을 선고받은 사람
<br>◎ 재판중이거나 수사가 종결되지 아니한 사람</td></tr><tr><th scope=row colspan=2>지원부터 배치까지</th><td>▶지원 → 1차 선발(합격)자 발표 → 면접 및 신체검사 → 최종선발(합격)자 발표 → 입영 → 기초군사훈련(5주) → 병과교육(기계교 : 3주) → 부대배치 조회(육군본부 홈페이지 - 신병부대배치 화면에서도 가능)
<br>* 육군훈련소 입영일자에 따라 병과학교 미교육자 있을 수 있습니다.</td></tr></tbody></table><div class=bview_btn><div class=right></div></div></div>"
K121102,"<div id=gunView><div class=bview_btn><div class=right></div></div><table class=notice_view><caption>군사특기 대한내용 설명표이며 특기, 병과, 직무개요 및 임무, 관련분야(직접, 간접), 신체사항, 지원자격, 지원부터 배치까지에 대한내용을 제공</caption><colgroup><col class=width_5p><col class=width_5p><col class=width_80p></colgroup><tbody><tr><th scope=row colspan=2>특기</th><td>M계열전차승무</td></tr><tr><th scope=row colspan=2>직무개요 및 임무</th><td><img src=/download/mjb/1/CAIS_HPIS_202008050351195990.jpg alt=M계열전차승무관련 사진 ><br>M-48전차승무원으로서 전차를 조종하고 전차포 사격을 실시하며 전차에 장착된 무전기 동작 및 승무원 정비를 실시
<br>- 각종 지형에서 M-48전차를 조종(주간, 야간)
<br>- 전차포 사격 및 공용화기 사격
<br>- 전차 탄약적재 및 탄약 장전 실시
<br>- 전차에 장착된 통신 장비를 조작
<br>- 전차차체 및 포탑에 대한 승무원정비를 실시</td></tr><tr><th scope=rowgroup rowspan=2>관련분야</th><th scope=row>직접</th><td>기갑분야(전체)</td></tr><tr><th scope=row>간접</th><td>전계열학과</td></tr><tr><th scope=row colspan=2>신체사항</th><td>- 신체등급 2급 이상('22년 2월 입영부터는 신체등급 3급 이상으로 적용)
<br>- 신장 164cm ~ 180cm 이내('22년 2월 입영부터는 신장 159cm ~ 187cm 이내로 적용)
<br>- 나안시력 0.2 이상('22년 2월 입영부터는 교정시력 0.8 이상으로 적용)
<br>- 디스크/관절장애, 운동장애, 수지결손, 수지강직, 색각장애, 청력장애, 언어장애, 폐쇄공포증, 수전증, 2차 심리검사 결과 등 정밀검사 대상자 제외</td></tr><tr><th scope=row colspan=2>지원자격</th><td>○ 연령 : 지원서 접수년도 기준 18세 이상 28세 이하
<br>○ 신체등급 1~2급을 판정받은 현역입영 대상자(신체등급 1 ~3급을 판정받은 현역입영 대상자 : '22년 2월 입영부터 적용)
<br>○ 자격/면허를 소지하였거나 자격/면허 미소지한 경우는 해당 전공학과 전문계고교 3년이상 수료 또는 대학 1년이상 재학인 사람
<br>○ 수형사유 지원제한 요건
<br>◎ 금고이상의 형(집행유예 포함)을 선고받은 사람
<br>◎ 재판중이거나 수사가 종결되지 아니한 사람</td></tr><tr><th scope=row colspan=2>지원부터 배치까지</th><td>▶ 지원 → 1차 선발(합격)자 발표 → 면접 및 신체검사 → 최종선발(합격)자 발표 → 입영 → 기초군사훈련(5주) → 병과교육(기계교 : 3주) → 부대배치 조회(육군본부 홈페이지 - 신병부대배치 화면에서도 가능)
<br>* 육군훈련소 입영일자에 따라 병과학교 미교육자 있을 수 있습니다.</td></tr></tbody></table><div class=bview_btn><div class=right></div></div></div>"
K122101,"<div id=gunView><div class=bview_btn><div class=right></div></div><table class=notice_view><caption>군사특기 대한내용 설명표이며 특기, 병과, 직무개요 및 임무, 관련분야(직접, 간접), 신체사항, 지원자격, 지원부터 배치까지에 대한내용을 제공</caption><colgroup><col class=width_5p><col class=width_5p><col class=width_80p></colgroup><tbody><tr><th scope=row colspan=2>특기</th><td>K계열전차부대정비</td></tr><tr><th scope=row colspan=2>직무개요 및 임무</th><td><img src=/download/mjb/1/CAIS_HPIS_202008050351530510.jpg alt=K계열전차부대정비관련 사진 ><br>K계열 전차 부대정비병으로서 구난장비 조종 및 구난업무와 K-1 전차의 엔진, 미션, 차체 및 현수장치의 2계단 부대정비를 실시하며, 전차의
<br>포탑정비 및 화포에 대한 부대정비 업무를 수행
<br>- 육안 및 시험 장비를 사용, 결함부분및 고장원인을 발견하고 부대정비를 실시
<br>- 정비후 시험기구를 사용, 구성품의 기능을 검사
<br>- 구난장비정비 및 기재를 손질하고 정비점검을 실시
<br>- 전투지역에서 고장난 장비의 구난, 정비, 복구, 견인 및 후송 임무 수행
<br>- K-1 전차의 포탑장치 및 화포를 육안 또는 시험장비를 사용 결함부분 및 고장원인을 발견하고 부대정비 실시</td></tr><tr><th scope=rowgroup rowspan=2>관련분야</th><th scope=row>직접</th><td>① 기갑 분야 (자동차, 항공기정비, 기계, 제어, 물리, 전자, 반도체, 무선/정보통신)
<br>② 전기 분야
<br>③ 건설기계정비 분야
<br>④ 전자 분야 
<br>⑤ 반도체 분야
<br>⑥ 제어 분야
<br>⑦ 항공기정비 분야 
<br>⑧ 광학기재 분야 
<br>⑨ 자동차정비 분야</td></tr><tr><th scope=row>간접</th><td>⑩ 컴퓨터HW 분야
<br>⑪ 정보통신 분야 
<br>⑫ 기계 분야 
<br>⑬ 금속 분야</td></tr><tr><th scope=row colspan=2>신체사항</th><td>- 체중 58KG이상
<br>- 디스크/관절장애, 운동장애, 수지결손, 수지강직, 색맹장애, 청력장애, 언어장애  제외</td></tr><tr><th scope=row colspan=2>지원자격</th><td>○ 연령 : 지원서 접수년도 기준 18세 이상 28세 이하
<br>○ 신체등급 1~3급을 판정받은 현역입영 대상자(4급 현역입영대상자 :22년 2월 입영 접수부터 가능)
<br>○ 자격/면허를 소지하였거나 자격/면허 미소지한 경우는 해당 전공학과 전문계고교 3년이상 수료 또는 대학 1년이상 재학인 사람
<br>○ 수형사유 지원제한 요건
<br>◎ 금고이상의 형(집행유예 포함)을 선고받은 사람
<br>◎ 재판중이거나 수사가 종결되지 아니한 사람</td></tr><tr><th scope=row colspan=2>지원부터 배치까지</th><td>▶지원 → 1차 선발(합격)자 발표 → 면접 및 신체검사 → 최종 선발(합격)자 발표→ 입영 → 기초군사훈련(5주) → 병과교육(기계교:4주) → 부대배치 조회(육군본부 홈페이지 - 신병부대배치 화면에서도 가능)
<br>* 육군훈련소 입영일자에 따라 병과학교 미교육자 있을 수 있습니다.</td></tr></tbody></table><div class=bview_btn><div class=right></div></div></div>"
K122102,"<div id=gunView><div class=bview_btn><div class=right></div></div><table class=notice_view><caption>군사특기 대한내용 설명표이며 특기, 병과, 직무개요 및 임무, 관련분야(직접, 간접), 신체사항, 지원자격, 지원부터 배치까지에 대한내용을 제공</caption><colgroup><col class=width_5p><col class=width_5p><col class=width_80p></colgroup><tbody><tr><th scope=row colspan=2>특기</th><td>K계열전차포탑정비</td></tr><tr><th scope=row colspan=2>직무개요 및 임무</th><td><img src=/download/mjb/1/CAIS_HPIS_202008050353154760.jpg alt=K계열전차포탑정비관련 사진 ><br>k-1 전차의 포탑 정비 및 화포에 대한 부대정비 업무를 수행
<br>- K-1 전차의 포탑 장치 밒 화포를 육안 및 시험 장비를 사용, 결함 부분 및 고장원인을 발견 하고 부대정비 실시
<br>- 정비용 시험기구를 사용, 구성품의 기능 검사
<br>- 보급행정 업무 수행</td></tr><tr><th scope=rowgroup rowspan=2>관련분야</th><th scope=row>직접</th><td>① 기갑분야(전자, 반도체, 무선/정보통신)
<br>② 기갑분야(제어, 물리)
<br>③ 전자분야
<br>④ 광학기재분야
<br>⑤ 제어분야
<br>⑥ 반도체분야
<br>⑦ H/W분야</td></tr><tr><th scope=row>간접</th><td>⑧ 기갑분야(기계)
<br>⑨ 기갑분야(자동차, 중기, 항공기정비)
<br>⑩ 정보통신분야
<br>⑪ 항공기정비분야
<br>⑫ 전기분야
<br>⑬ 기계분야</td></tr><tr><th scope=row colspan=2>신체사항</th><td>- 체중 58KG이상
<br>- 디스크관절이상, 운동장애, 수지결손, 수지강직, 색각장애, 청력장애, 언어장애 제외</td></tr><tr><th scope=row colspan=2>지원자격</th><td>○ 연령 : 지원서 접수년도 기준 18세 이상 28세 이하
<br>○ 학력 : 중학교 졸업이상(교육부장관이 인정하는 동등학력 포함))/'21년 3월접수(6월입영)부터 폐지
<br>○ 신체등급 1~3급을 판정받은 현역입영 대상자
<br>○ 자격/면허를 소지하였거나 자격/면허 미소지한 경우는 해당 전공학과 전문계고교 3년이상 수료 또는 대학 1년이상 재학인 사람
<br>○ 수형사유 지원제한 요건
<br>◎ 금고이상의 형(집행유예 포함)을 선고받은 사람
<br>◎ 재판중이거나 수사가 종결되지 아니한 사람
<br>
<br>
<br>※ 2022년 1월 입영부터 모집특기 폐지</td></tr><tr><th scope=row colspan=2>지원부터 배치까지</th><td>▶지원 → 1차 선발(합격)자 발표 → 면접 및 신체검사 → 최종 선발(합격)자 발표 → 입영 → 기초군사훈련(5주) → 병과교육(기계교:4주) → 부대배치 조회(육군본부 홈페이지 - 신병부대배치 화면에서도 가능)
<br>* 육군훈련소 입영일자에 따라 병과학교 미교육자 있을 수 있습니다.</td></tr></tbody></table><div class=bview_btn><div class=right></div></div></div>"
K122103,"<div id=gunView><div class=bview_btn><div class=right></div></div><table class=notice_view><caption>군사특기 대한내용 설명표이며 특기, 병과, 직무개요 및 임무, 관련분야(직접, 간접), 신체사항, 지원자격, 지원부터 배치까지에 대한내용을 제공</caption><colgroup><col class=width_5p><col class=width_5p><col class=width_80p></colgroup><tbody><tr><th scope=row colspan=2>특기</th><td>M계열전차부대정비</td></tr><tr><th scope=row colspan=2>직무개요 및 임무</th><td><img src=/download/mjb/1/CAIS_HPIS_202008050353569280.jpg alt=M계열전차부대정비관련 사진 ><br>M계열 전차 부대정비병으로서 구난장비 조종 및 구난 업무와 전차의 엔진, 미션, 차체 및 현수장치의 2계단 부대정비를 실시하며, 전차의 포탑 정비 및 화포에 대한 부대정비 업무를 수행
<br>- 육안 및 시험장비를 사용, 결함부분 및 고장 원인을 갈견하고 부대정비 실시
<br>- 정비후 시험기구 사용, 구성품의 기능을 검사
<br>- 구난장비 정비, 정비장구 및 기재 손질, 정비점검 실시
<br>- 전투지역에서 고장난 장비의 구난, 정비, 복구, 견인 및 후송업무 수행
<br>- 보급행정 업무 수행
<br>- M계열 전차의 포탑장치 및 화포를 육안 또는 시험장비 사용
<br>- 결함부분 및 고장원인을 발견하고 부대정비를 실시</td></tr><tr><th scope=rowgroup rowspan=2>관련분야</th><th scope=row>직접</th><td>① 기갑 분야 (자동차,항공기정비, 기계, 제어,물리, 전자,반도체,무선/정보통신)
<br>② 전기 분야
<br>③ 건설기계정비 분야 
<br>④ 전자 분야 
<br>⑤ 제어 분야 
<br>⑥ 항공기정비 분야 
<br>⑦ 광학기재 분야 
<br>⑧ 자동차정비 분야</td></tr><tr><th scope=row>간접</th><td>⑨ 반도체 분야
<br>⑩ 컴퓨터HW 분야 
<br>⑪ 정보통신 분야 
<br>⑫ 기계 분야 
<br>⑬ 금속 분야</td></tr><tr><th scope=row colspan=2>신체사항</th><td>- 체중 58KG이상
<br>- 디스크/관절장애, 운동장애, 수지결손, 수지강직, 색맹장애, 청력장애, 언어장애 제외</td></tr><tr><th scope=row colspan=2>지원자격</th><td>○ 연령 : 지원서 접수년도 기준 18세 이상 28세 이하
<br>○ 신체등급 1~3급을 판정받은 현역입영 대상자(4급 현역입영대상자 :22년 2월 입영 접수부터 가능)
<br>○ 자격/면허를 소지하였거나 자격/면허 미소지한 경우는 해당 전공학과 전문계고교 3년이상 수료 또는 대학 1년이상 재학인 사람
<br>○ 수형사유 지원제한 요건
<br>◎ 금고이상의 형(집행유예 포함)을 선고받은 사람
<br>◎ 재판중이거나 수사가 종결되지 아니한 사람</td></tr><tr><th scope=row colspan=2>지원부터 배치까지</th><td>▶지원 → 1차 선발(합격)자 발표 → 면접 및 신체검사 → 최종 선발(합격)자 발표→ 입영 → 기초군사훈련(5주) → 병과교육(기계교:4주) → 부대배치 조회(육군본부 홈페이지 - 신병부대배치 화면에서도 가능)
<br>* 육군훈련소 입영일자에 따라 병과학교 미교육자 있을 수 있습니다.</td></tr></tbody></table><div class=bview_btn><div class=right></div></div></div>"
K122104,"<div id=gunView><div class=bview_btn><div class=right></div></div><table class=notice_view><caption>군사특기 대한내용 설명표이며 특기, 병과, 직무개요 및 임무, 관련분야(직접, 간접), 신체사항, 지원자격, 지원부터 배치까지에 대한내용을 제공</caption><colgroup><col class=width_5p><col class=width_5p><col class=width_80p></colgroup><tbody><tr><th scope=row colspan=2>특기</th><td>M계열전차포탑정비</td></tr><tr><th scope=row colspan=2>직무개요 및 임무</th><td><img src=/download/mjb/1/CAIS_HPIS_202008050354221320.jpg alt=M계열전차포탑정비관련 사진 ><br>M계열 전차의 포탑 정비 및 화포에 대한 부대 정비 업무를 수행
<br>- M계열 전차의 포탑장치 및 화포를 육안 또는 시험장비 사용, 결함부분 및 고장원인을 발견하고 부대정비를 실시
<br>- 정비후 시험기구 사용, 구성품의 기능검사
<br>- 보급행정 업무 수행</td></tr><tr><th scope=rowgroup rowspan=2>관련분야</th><th scope=row>직접</th><td>① 기갑분야(전기)
<br>② 기갑분야(제어, 물리)
<br>③ 기갑분야(전자, 반도체, 무선/정보통신)
<br>④ 전기분야
<br>⑤ 제어분야
<br>⑥ 전자분야
<br>⑦ 광학기재 분야</td></tr><tr><th scope=row>간접</th><td>⑧ 항공기 정비분야
<br>⑨ 기계분야
<br>⑩ 정보통신분야
<br>⑪ 자동차 정비분야
<br>⑫ 반도체분야
<br>⑬ H/W분야 
<br>⑭ 금속분야</td></tr><tr><th scope=row colspan=2>신체사항</th><td>- 체중 58KG이상
<br>- 디스크/관절장애, 운동장애, 수지결손, 수지강직, 색각장애, 청력장애, 언어장애 제외</td></tr><tr><th scope=row colspan=2>지원자격</th><td>○ 연령 : 지원서 접수년도 기준 18세 이상 28세 이하
<br>○ 학력 : 중학교 졸업이상(교육부장관이 인정하는 동등학력 포함))/'21년 3월접수(6월입영)부터 폐지
<br>○ 신체등급 1~3급을 판정받은 현역입영 대상자
<br>○ 자격/면허를 소지하였거나 자격/면허 미소지한 경우는 해당 전공학과 전문계고교 3년이상 수료 또는 대학 1년이상 재학인 사람
<br>○ 수형사유 지원제한 요건
<br>◎ 금고이상의 형(집행유예 포함)을 선고받은 사람
<br>◎ 재판중이거나 수사가 종결되지 아니한 사람
<br>
<br>
<br>
<br>※ 2022년 1월 입영부터 모집특기 폐지</td></tr><tr><th scope=row colspan=2>지원부터 배치까지</th><td>▶지원 → 1차 선발(합격)자 발표 → 면접 및 신체검사 → 최종 선발(합격)자 발표→ 입영 → 기초군사훈련(5주) → 병과교육(기계교:4주) → 부대배치 조회(육군본부 홈페이지 - 신병부대배치 화면에서도 가능)
<br>* 육군훈련소 입영일자에 따라 병과학교 미교육자 있을 수 있습니다.</td></tr></tbody></table><div class=bview_btn><div class=right></div></div></div>"
K122105,"<div id=gunView><div class=bview_btn><div class=right></div></div><table class=notice_view><caption>군사특기 대한내용 설명표이며 특기, 병과, 직무개요 및 임무, 관련분야(직접, 간접), 신체사항, 지원자격, 지원부터 배치까지에 대한내용을 제공</caption><colgroup><col class=width_5p><col class=width_5p><col class=width_80p></colgroup><tbody><tr><th scope=row colspan=2>특기</th><td>전차통신정비</td></tr><tr><th scope=row colspan=2>직무개요 및 임무</th><td><img src=/download/mjb/1/CAIS_HPIS_202008050354437390.jpg alt=전차통신정비관련 사진 ><br>전차부대에 편성/전차에 장착된 유무선 통신기재 및 장비에 대한 부대정비 업무 수행
<br>- 육안 또는 시험장비를 사용하여 결함부분 및 고장원인을 발견하고 1,2단계 정비 실시
<br>- 정비후 시험기구를 사용, 구성품의 기능 검사
<br>- 전차부대의 교환, 무전, 가설병 임무 수행
<br>- 보급행정 업무 수행</td></tr><tr><th scope=rowgroup rowspan=2>관련분야</th><th scope=row>직접</th><td>① 전기 분야
<br>② 전자 분야
<br>③ 유선선로 분야
<br>④ 무선통신 분야 
<br>⑤ 정보통신 분야</td></tr><tr><th scope=row>간접</th><td>⑥ 반도체 분야
<br>⑦ 제어 분야
<br>⑧ 컴퓨터HW 분야</td></tr><tr><th scope=row colspan=2>신체사항</th><td>- 체중 58KG이상
<br>- 디스크/관절장애, 운동장애, 수지결손, 수지강직, 색맹장애, 청력장애, 언어장애, 2차 심리검사 결과 정밀검사 등 대상자 제외</td></tr><tr><th scope=row colspan=2>지원자격</th><td>○ 연령 : 지원서 접수년도 기준 18세 이상 28세 이하
<br>○ 신체등급 1~3급을 판정받은 현역입영 대상자(4급 현역입영대상자 :22년 2월 입영 접수부터 가능)
<br>○ 자격/면허를 소지하였거나 자격/면허 미소지한 경우는 해당 전공학과 전문계고교 3년이상 수료 또는 대학 1년이상 재학인 사람
<br>○ 수형사유 지원제한 요건
<br>◎ 금고이상의 형(집행유예 포함)을 선고받은 사람
<br>◎ 재판중이거나 수사가 종결되지 아니한 사람</td></tr><tr><th scope=row colspan=2>지원부터 배치까지</th><td>▶지원 → 1차 선발(합격)자 발표 → 면접 및 신체검사 → 최종 선발(합격)자 발표 → 입영 → 기초군사훈련(5주) → 병과교육(기계교:2주) → 부대배치 조회(육군본부 홈페이지 - 신병부대배치 화면에서도 가능)
<br>* 육군훈련소 입영일자에 따라 병과학교 미교육자 있을 수 있습니다.</td></tr></tbody></table><div class=bview_btn><div class=right></div></div></div>"
K123101,"<div id=gunView><div class=bview_btn><div class=right></div></div><table class=notice_view><caption>군사특기 대한내용 설명표이며 특기, 병과, 직무개요 및 임무, 관련분야(직접, 간접), 신체사항, 지원자격, 지원부터 배치까지에 대한내용을 제공</caption><colgroup><col class=width_5p><col class=width_5p><col class=width_80p></colgroup><tbody><tr><th scope=row colspan=2>특기</th><td>장갑차조종</td></tr><tr><th scope=row colspan=2>직무개요 및 임무</th><td><img src=/download/mjb/1/CAIS_HPIS_202008050355264900.jpg alt=장갑차조종관련 사진 ><br>장갑차 조종수로서 장갑차조종, 기관총사격을 실시하며, 장갑차에 장착된 무전기 동작 및 승무원 정비를 실시
<br>- 장갑차 조종, 무전기조작 및 승무원 정비실시
<br>- 개인 및 공용화기를 사격하고 정비
<br>- 장갑차에 연료, 탄약, 식량 적재 및 준비
<br>- 장갑차에 대한 승무원 정비 실시</td></tr><tr><th scope=rowgroup rowspan=2>관련분야</th><th scope=row>직접</th><td>기갑분야(전체)</td></tr><tr><th scope=row>간접</th><td>전계열분야</td></tr><tr><th scope=row colspan=2>신체사항</th><td>- 신체등급 3급 이상('22년 2월 입영부터 적용)
<br>- 신장 164cm ~ 184cm이내
<br>- 나안시력 0.2이상('22년 2월 입영부터 교정시력 0.6 이상으로 적용)
<br>- 디스크 관절장애, 운동장애, 수지결손, 수지강직, 색각장애, 청력장애, 언어장애, 폐쇄공포증, 수전증 제외
<br>- 2차 심리검사 결과 등 정밀검사 대상자 제외('22년 2월 입영부터 적용)</td></tr><tr><th scope=row colspan=2>지원자격</th><td>○ 연령 : 지원서 접수년도 기준 18세 이상 28세 이하
<br>○ 신체등급 1~3급을 판정받은 현역입영 대상자
<br>○ 자격/면허를 소지하였거나 자격/면허 미소지한 경우는 해당 전공학과 전문계고교 3년이상 수료 또는 대학 1년이상 재학인 사람
<br>○ 수형사유 지원제한 요건
<br>◎ 금고이상의 형(집행유예 포함)을 선고받은 사람
<br>◎ 재판중이거나 수사가 종결되지 아니한 사람</td></tr><tr><th scope=row colspan=2>지원부터 배치까지</th><td>▶지원 → 1차 선발(합격)자 발표 → 면접 및 신체검사 → 최종 선발(합격)자 발표→ 입영 → 기초군사훈련(5주) → 병과교육(기계교:3주) →부대배치 조회(육군본부 홈페이지 - 신병부대배치 화면에서도 가능)
<br>* 육군훈련소 입영일자에 따라 병과학교 미교육자 있을 수 있습니다.</td></tr></tbody></table><div class=bview_btn><div class=right></div></div></div>"
K123102,"<div id=gunView><div class=bview_btn><div class=right></div></div><table class=notice_view><caption>군사특기 대한내용 설명표이며 특기, 병과, 직무개요 및 임무, 관련분야(직접, 간접), 신체사항, 지원자격, 지원부터 배치까지에 대한내용을 제공</caption><colgroup><col class=width_5p><col class=width_5p><col class=width_80p></colgroup><tbody><tr><th scope=row colspan=2>특기</th><td>장갑차부대정비</td></tr><tr><th scope=row colspan=2>직무개요 및 임무</th><td><img src=/download/mjb/1/CAIS_HPIS_202008050355539030.jpg alt=장갑차부대정비관련 사진 ><br>장갑차의 엔진, 차체 및 현수장치, 기관총에 대한 부대정비 업무 수행
<br>- 육안 및 시험장비 사용, 결함 부분 및 고장원인을 발견하고 부대정비 실시
<br>- 정비후 시험기구 사용, 구성품의 기능검사
<br>- 구난장비 정비, 정비장구 및 기재 손질하고 정비점검 실시
<br>- 전투지역에서 고장난 장비 구난, 정비 복구 및 견인/ 후송
<br>- 보급행정 업무 수행</td></tr><tr><th scope=rowgroup rowspan=2>관련분야</th><th scope=row>직접</th><td>① 기갑분야(자동차, 항공기정비)
<br>② 기갑분야(정비)
<br>③ 기갑분야(기계)
<br>④ 기갑분야(전기)
<br>⑤ 기갑분야(제어, 물리)
<br>⑥ 건설기계정비 분야 
<br>⑦ 항공기정비 분야 
<br>⑧ 자동차정비 분야</td></tr><tr><th scope=row>간접</th><td>⑨ 전기 분야
<br>⑩ 제어 분야
<br>⑪ 정보통신 분야 
<br>⑫ 기계 분야 
<br>⑬ 금속 분야 
<br>⑭ 운전 분야</td></tr><tr><th scope=row colspan=2>신체사항</th><td>- 체중 58KG이상
<br>- 디스크/관절장애, 운동장애, 수지결손, 수지강직, 색맹장애, 청력장애, 언어장애 제외</td></tr><tr><th scope=row colspan=2>지원자격</th><td>○ 연령 : 지원서 접수년도 기준 18세 이상 28세 이하
<br>○ 신체등급 1~3급을 판정받은 현역입영 대상자(4급 현역입영대상자 :22년 2월 입영 접수부터 가능)
<br>○ 자격/면허를 소지하였거나 자격/면허 미소지한 경우는 해당 전공학과 전문계고교 3년이상 수료 또는 대학 1년이상 재학인 사람
<br>○ 수형사유 지원제한 요건
<br>◎ 금고이상의 형(집행유예 포함)을 선고받은 사람
<br>◎ 재판중이거나 수사가 종결되지 아니한 사람</td></tr><tr><th scope=row colspan=2>지원부터 배치까지</th><td>▶지원 → 1차 선발(합격)자 발표 → 면접 및 신체검사 → 최종 선발(합격)자 발표 → 입영 → 기초군사훈련(5주) → 병과교육(기계교:4주) → 부대배치 조회(육군본부 홈페이지 - 신병부대배치 화면에서도 가능)
<br>* 육군훈련소 입영일자에 따라 병과학교 미교육자 있을 수 있습니다.</td></tr></tbody></table><div class=bview_btn><div class=right></div></div></div>"
K123103,"<div id=gunView><div class=bview_btn><div class=right></div></div><table class=notice_view><caption>군사특기 대한내용 설명표이며 특기, 병과, 직무개요 및 임무, 관련분야(직접, 간접), 신체사항, 지원자격, 지원부터 배치까지에 대한내용을 제공</caption><colgroup><col class=width_5p><col class=width_5p><col class=width_80p></colgroup><tbody><tr><th scope=row colspan=2>특기</th><td>K-21보병전투차량승무</td></tr><tr><th scope=row colspan=2>직무개요 및 임무</th><td><img src=/download/mjb/1/CAIS_HPIS_202008050356478700.jpg alt=K-21보병전투차량승무관련 사진 ><br>장갑차 조종수로서 장갑차 조종, 기관총사격을 실시하며, 장갑차에 장착된 무전기동작 및 승무원 정비를 실시
<br>- 장갑차 조종, 무전기조작 및 승무원 정비실시
<br>- 개인 및 공용화기를 사격하고 정비
<br>- 장갑차에 연료, 탄약, 식량 적재 및 준비
<br>- 장갑차에 대한 승무원 정비 실시</td></tr><tr><th scope=rowgroup rowspan=2>관련분야</th><th scope=row>직접</th><td>기갑분야(전체)</td></tr><tr><th scope=row>간접</th><td>전 계열분야</td></tr><tr><th scope=row colspan=2>신체사항</th><td>- 신체등급 2급 이상 
<br>- 신장 164cm ~ 180cm 이내 
<br>- 나안시력 0.2 이상
<br>- 디스크/관절이상, 운동장애, 수지결손, 수지강직, 색각장애, 청력장애, 언어장애, 폐쇄공포증, 수전증, 2차 심리검사 결과 등 정밀검사 대상자 제외</td></tr><tr><th scope=row colspan=2>지원자격</th><td>○ 연령 : 지원서 접수년도 기준 18세이상 28세이하
<br>○ 신체등급 1~2급을 판정받은 현역입영대상자
<br>○ 자격/면허를 소지하였거나 자격/면허 미소지한 경우는 해당 전공학과 전문계 고교 3년이상 수료 또는 대학 1년재학 이상인 사람
<br>○ 수형사유 지원제한 요건
<br>  ◎ 금고이상의 형(집행유예 포함)을 선고받은 사람
<br>  ◎ 재판중이거나 수사가 종결되지 아니한 사람</td></tr><tr><th scope=row colspan=2>지원부터 배치까지</th><td>▶지원 → 1차 선발(합격)자 발표 → 면접 및 신체검사 → 최종 선발(합격)자 발표 → 입영 → 기초군사훈련(5주) → 병과교육(기계교:3주) →부대배치 조회(육군본부 홈페이지 - 신병부대배치 화면에서도 가능)
<br>* 육군훈련소 입영일자에 따라 병과학교 미교육자 있을 수 있습니다.</td></tr></tbody></table><div class=bview_btn><div class=right></div></div></div>"
