구분,모집회차,입영월,지원서접수,1차발표,신검/면접,최종발표
공군 모집병,24-10회차 모집 없음,-,-,-,-,-
공군 모집병,24-11회차 (865기),'25. 2. 3.(월),'24. 10. 31.(목) ~ '24. 11. 6.(수),'24. 11. 19.(화),'24. 11. 20.(수) ~ '24. 12. 11.(수),'24. 12. 24.(화)
공군 모집병,24-12회차 (866기),'25. 3. 10.(월),'24. 11. 28.(목) ~ '24. 12. 3.(화),'24. 12. 13.(금),'24. 12. 16.(월) ~ '25. 1. 10.(금),'25. 1. 22.(수)
공군 모집병,25-1회차 (867기),'25. 4. 14.(월),'24. 12. 31.(화) ~ '25. 1. 7.(화),'25. 1. 17.(금),'25. 1. 20.(월) ~ '25. 2. 12.(수),'25. 2. 21.(금)
공군 모집병,25-2회차 (868기),'25. 5. 19.(월),'25. 2. 5.(수) ~ '25. 2. 11.(화),'25. 2. 25.(화),'25. 2. 26.(수) ~ '25. 3. 18.(화),'25. 3. 27.(목)
공군 모집병,25-3회차 (869기),'25. 6. 23.(월),'25. 2. 27.(목) ~ '25. 3. 5.(수),'25. 3. 18.(화),'25. 3. 19.(수) ~ '25. 4. 11.(금),'25. 4. 23.(수)
공군 모집병,25-4회차 (870기),'25. 7. 28.(월),'25. 3. 28.(금) ~ '25. 4. 2.(수),'25. 4. 15.(화),'25. 4. 16.(수) ~ '25. 5. 9.(금),'25. 5. 22.(목)
공군 모집병,25-5회차 모집 없음,-,-,-,-,-
공군 모집병,25-6회차 (871기),'25. 9. 1.(월),'25. 5. 29.(목) ~ '25. 6. 4.(수),'25. 6. 17.(화),'25. 6. 18.(수) ~ '25. 7. 11.(금),'25. 7. 23.(수)
공군 모집병,25-7회차 (872기),'25. 10. 13.(월),'25. 6. 26.(목) ~ '25. 7. 2.(수),'25. 7. 15.(화),'25. 7. 16.(수) ~ '25. 8. 7.(목),'25. 8. 21.(목)
공군 모집병,25-8회차 (873기),'25. 11. 17.(월),'25. 7. 31.(목) ~ '25. 8. 6.(수),'25. 8. 19.(화),'25. 8. 20.(수) ~ '25. 9. 10.(수),'25. 9. 23.(화)
공군 모집병,25-9회차 (874기),'25. 12. 22.(월),'25. 8. 28.(목) ~ '25. 9. 3.(수),'25. 9. 12.(금),'25. 9. 15.(월) ~ '25. 10. 13.(월),'25. 10. 23.(목)
육군 기술행정병,24-10회차,'25년 1월,'24. 10. 7.(월) ~ '24. 10. 14.(월),'24. 10. 24.(목),'24. 10. 25.(금) ~ '24. 11. 14.(목),‘22. 11. 17.(목)
육군 기술행정병,24-11회차,'25년 2월,'24. 10. 31.(목) ~ '24. 11. 6.(수),'24. 11. 19.(화),'24. 11. 20.(수) ~ '24. 12. 11.(수),‘22. 12. 16.(금)
육군 기술행정병,24-12회차,'25년 3월,'24. 11. 28.(목) ~ '24. 12. 3.(화),'24. 12. 13.(금),'24. 12. 16.(월) ~ '25. 1. 10.(금),‘23. 1. 19.(목)
육군 기술행정병,25-1회차,'25년 4월,'24. 12. 31.(화) ~ '25. 1. 7.(화),'25. 1. 17.(금),'25. 1. 20.(월) ~ '25. 2. 12.(수),‘23. 2. 23.(목)
육군 기술행정병,25-2회차,'25년 5월,'25. 2. 5.(수) ~ '25. 2. 11.(화),'25. 2. 25.(화),'25. 2. 26.(수) ~ '25. 3. 18.(화),‘23. 3. 17.(금)
육군 기술행정병,25-3회차,'25년 6월,'25. 2. 27.(목) ~ '25. 3. 5.(수),'25. 3. 18.(화),'25. 3. 19.(수) ~ '25. 4. 11.(금),‘23. 4. 20.(목)
육군 기술행정병,25-4회차,'25년 7월,'25. 3. 28.(금) ~ '25. 4. 2.(수),'25. 4. 15.(화),'25. 4. 16.(수) ~ '25. 5. 9.(금),‘23. 5. 18.(목)
육군 기술행정병,25-5회차,'25년 8월,'25. 4. 30.(수) ~ '25. 5. 8.(목),'25. 5. 16.(금),'25. 5. 19.(월) ~ '25. 6. 11.(수),‘23. 6. 22.(목)
육군 기술행정병,25-6회차,'25년 9월,'25. 5. 29.(목) ~ '25. 6. 4.(수),'25. 6. 17.(화),'25. 6. 18.(수) ~ '25. 7. 11.(금),‘23. 7. 20.(목)
육군 기술행정병,25-7회차,'25년 10월,'25. 6. 26.(목) ~ '25. 7. 2.(수),'25. 7. 15.(화),'25. 7. 16.(수) ~ '25. 8. 7.(목),‘23. 8. 24.(목)
육군 기술행정병,25-8회차,'25년 11월,'25. 7. 31.(목) ~ '25. 8. 6.(수),'25. 8. 19.(화),'25. 8. 20.(수) ~ '25. 9. 10.(수),‘23. 9. 21.(목)
육군 기술행정병,25-9회차,'25년 12월,'25. 8. 28.(목) ~ '25. 9. 3.(수),'25. 9. 12.(금),'25. 9. 15.(월) ~ '25. 10. 13.(월),‘23. 10. 19.(목)
육군 동반입대병/연고지복무병/직계가족복무부대병,24-10회차,'25년 1월,'24. 10. 4.(금) ~ '24. 10. 10.(목),'24. 10. 11.(금),'24. 11. 20.(수),'24. 11. 22.(금)
육군 동반입대병/연고지복무병/직계가족복무부대병,24-11회차,'25년 2월,'24. 10. 30.(수) ~ '24. 11. 5.(화),'24. 11. 6.(수),'24. 12. 12.(목),'24. 12. 24.(화)
육군 동반입대병/연고지복무병/직계가족복무부대병,24-12회차,'25년 3월,'24. 11. 27.(수) ~ '24. 12. 2.(월),'24. 12. 3.(화),'25. 1. 15.(수),'25. 1. 22.(수)
육군 동반입대병/연고지복무병/직계가족복무부대병,25-1회차,'25년 4월,'24. 12. 30.(월) ~ '25. 1. 6.(월),'25. 1. 7.(화),'25. 2. 13.(목),'25. 2. 21.(금)
육군 동반입대병/연고지복무병/직계가족복무부대병,25-2회차,'25년 5월,'25. 2. 4.(화) ~ '25. 2. 10.(월),'25. 2. 11.(화),'25. 3. 13.(목),'25. 3. 27.(목)
육군 동반입대병/연고지복무병/직계가족복무부대병,25-3회차,'25년 6월,'25. 2. 26.(수) ~ '25. 3. 4.(화),'25. 3. 5.(수),'25. 4. 10.(목),'25. 4. 23.(수)
육군 동반입대병/연고지복무병/직계가족복무부대병,25-4회차,'25년 7월,'25. 3. 27.(목) ~ '25. 4. 1.(화),'25. 4. 2.(수),'25. 5. 15.(목),-
육군 동반입대병/연고지복무병/직계가족복무부대병,25-5회차,'25년 8월,'25. 4. 30.(수) ~ '25. 5. 7.(수),'25. 5. 8.(목),'25. 6. 12.(목),'25. 6. 20.(금)
육군 동반입대병/연고지복무병/직계가족복무부대병,25-6회차,'25년 9월,'25. 5. 28.(수) ~ '25. 6. 3.(화),'25. 6. 4.(수),'25. 7. 10.(목),'25. 7. 23.(수)
육군 동반입대병/연고지복무병/직계가족복무부대병,25-7회차,'25년 10월,'25. 6. 25.(수) ~ '25. 7. 1.(화),'25. 7. 2.(수),'25. 8. 13.(수),'25. 8. 21.(목)
육군 동반입대병/연고지복무병/직계가족복무부대병,25-8회차,'25년 11월,'25. 7. 30.(수) ~ '25. 8. 5.(화),'25. 8. 6.(수),'25. 9. 11.(목),'24. 11. 22.(금)
육군 동반입대병/연고지복무병/직계가족복무부대병,25-9회차,'25년 12월,'25. 8. 27.(수) ~ '25. 9. 2.(화),'25. 9. 3.(수),'25. 10. 17.(금),'24. 12. 24.(화)
해군 모집병,24-10회차 (710기),'25. 1. 6.(월),'24. 10. 7.(월) ~ '24. 10. 14.(월),'24. 10. 24.(목),'24. 10. 25.(금) ~ '24. 11. 14.(목),'25. 1. 22.(수)
해군 모집병,24-11회차 (711기),'25. 2. 10.(월),'24. 10. 31.(목) ~ '24. 11. 6.(수),'24. 11. 19.(화),'24. 11. 20.(수) ~ '24. 12. 11.(수),'25. 2. 21.(금)
해군 모집병,24-12회차 (712기),'25. 3. 17.(월),'24. 11. 28.(목) ~ '24. 12. 3.(화),'24. 12. 13.(금),'24. 12. 16.(월) ~ '25. 1. 10.(금),'25. 3. 27.(목)
해군 모집병,25-1회차 (713기),'25. 4. 21.(월),'24. 12. 31.(화) ~ '25. 1. 7.(화),'25. 1. 17.(금),'25. 1. 20.(월) ~ '25. 2. 12.(수),'25. 4. 23.(수)
해군 모집병,25-2회차 (714기),'25. 5. 26.(월),'25. 2. 5.(수) ~ '25. 2. 11.(화),'25. 2. 25.(화),'25. 2. 26.(수) ~ '25. 3. 18.(화),'25. 5. 22.(목)
해군 모집병,25-3회차 (715기),'25. 6. 30.(월),'25. 2. 27.(목) ~ '25. 3. 5.(수),'25. 3. 18.(화),'25. 3. 19.(수) ~ '25. 4. 11.(금),'25. 6. 20.(금)
