군구분,검사구분코드,검사지침구분,검사지침코드,검사지침코드명,자격면허등급
육군,0073,면허,3017,회계정보처리사,일반면허비공인
공군,BJ01,면허,3017,회계정보처리사,일반면허비공인
육군,0073,면허,3016,회계정보사,일반면허비공인
공군,BJ01,면허,3016,회계정보사,일반면허비공인
해병,BJ20,면허,A0087,회계관리 2급,일반면허공인
해병,BJ01,면허,A0087,회계관리 2급,일반면허공인
육군,0071,면허,A0087,회계관리 2급,일반면허공인
공군,BJ01,면허,A0087,회계관리 2급,일반면허공인
해병,BJ20,면허,A0086,회계관리 1급,일반면허공인
해병,BJ01,면허,A0086,회계관리 1급,일반면허공인
육군,0071,면허,A0086,회계관리 1급,일반면허공인
공군,BJ01,면허,A0086,회계관리 1급,일반면허공인
공군,BJ01,면허,A0086,회계관리 1급,일반면허공인
해병,BJ20,면허,A0231,환경측정분석사면허,일반면허공인
해병,BJ01,면허,A0231,환경측정분석사면허,일반면허공인
해군,BJ01,면허,A0231,환경측정분석사면허,일반면허공인
육군,6031,면허,A0231,환경측정분석사면허,일반면허공인
공군,BJ06,면허,A0231,환경측정분석사면허,일반면허공인
육군,6021,자격,1029,환경위해관리기사,기사급이상
육군,6021,자격,9618,환경위해관리기사,기사급이상
해병,BJ20,자격,W53I,환경영향평가_L5,기사급이상
해병,BJ01,자격,W53I,환경영향평가_L5,기사급이상
해군,BJ01,자격,W53I,환경영향평가_L5,기사급이상
육군,6031,자격,W53I,환경영향평가_L5,기사급이상
공군,BJ01,자격,W53I,환경영향평가_L5,기사급이상
해병,BJ20,자격,W50I,환경영향평가 L5,기사급이상
해병,BJ20,자격,5W0V,환경영향평가 L5,기사급이상
해병,BJ01,자격,5W0V,환경영향평가 L5,기사급이상
해병,BJ01,자격,W50I,환경영향평가 L5,기사급이상
해군,BJ01,자격,5W0V,환경영향평가 L5,기사급이상
해군,BJ01,자격,W50I,환경영향평가 L5,기사급이상
육군,6031,자격,5W0V,환경영향평가 L5,기사급이상
육군,6031,자격,W50I,환경영향평가 L5,기사급이상
공군,BJ01,자격,W50I,환경영향평가 L5,기사급이상
공군,BJ01,자격,5W0V,환경영향평가 L5,기사급이상
해병,BJ20,자격,W43B,환경시설관리_L4,산업기사급
해병,BJ06,자격,W43B,환경시설관리_L4,산업기사급
해병,BJ01,자격,W43B,환경시설관리_L4,산업기사급
해군,BJ01,자격,W43B,환경시설관리_L4,산업기사급
육군,6031,자격,W43B,환경시설관리_L4,산업기사급
공군,BJ01,자격,W43B,환경시설관리_L4,산업기사급
해병,BJ20,자격,W40B,환경시설관리 L4,산업기사급
해병,BJ20,자격,4W0B,환경시설관리 L4,산업기사급
해병,BJ06,자격,W40B,환경시설관리 L4,산업기사급
해병,BJ06,자격,4W0B,환경시설관리 L4,산업기사급
해병,BJ01,자격,W40B,환경시설관리 L4,산업기사급
해병,BJ01,자격,4W0B,환경시설관리 L4,산업기사급
해군,BJ01,자격,W40B,환경시설관리 L4,산업기사급
해군,BJ01,자격,4W0B,환경시설관리 L4,산업기사급
육군,6031,자격,W40B,환경시설관리 L4,산업기사급
육군,6031,자격,4W0B,환경시설관리 L4,산업기사급
공군,BJ01,자격,4W0B,환경시설관리 L4,산업기사급
공군,BJ01,자격,W40B,환경시설관리 L4,산업기사급
해병,BJ20,자격,H55R,환경디자인_L5,기사급이상
해병,BJ20,자격,H50R,환경디자인_L5,기사급이상
해병,BJ20,자격,5H1G,환경디자인_L5,기사급이상
해병,BJ01,자격,H50R,환경디자인_L5,기사급이상
해병,BJ01,자격,5H1G,환경디자인_L5,기사급이상
해병,BJ01,자격,H55R,환경디자인_L5,기사급이상
해군,BJ01,자격,H50R,환경디자인_L5,기사급이상
해군,BJ01,자격,5H1G,환경디자인_L5,기사급이상
해군,BJ01,자격,H55R,환경디자인_L5,기사급이상
육군,1062,자격,H50R,환경디자인_L5,기사급이상
육군,1062,자격,5H1G,환경디자인_L5,기사급이상
육군,1062,자격,H55R,환경디자인_L5,기사급이상
공군,BJ01,자격,H55R,환경디자인_L5,기사급이상
공군,BJ01,자격,5H1G,환경디자인_L5,기사급이상
공군,BJ01,자격,H50R,환경디자인_L5,기사급이상
해병,BJ20,자격,H30L,환경디자인_L3,산업기사급
해병,BJ20,자격,H33L,환경디자인_L3,산업기사급
해병,BJ20,자격,3H0M,환경디자인_L3,산업기사급
해병,BJ20,자격,H35L,환경디자인_L3,산업기사급
해병,BJ01,자격,3H0M,환경디자인_L3,산업기사급
해병,BJ01,자격,H33L,환경디자인_L3,산업기사급
해병,BJ01,자격,H35L,환경디자인_L3,산업기사급
해병,BJ01,자격,H30L,환경디자인_L3,산업기사급
해군,BJ01,자격,3H0M,환경디자인_L3,산업기사급
해군,BJ01,자격,H30L,환경디자인_L3,산업기사급
해군,BJ01,자격,H33L,환경디자인_L3,산업기사급
해군,BJ01,자격,H35L,환경디자인_L3,산업기사급
육군,1062,자격,H30L,환경디자인_L3,산업기사급
육군,1062,자격,3H0M,환경디자인_L3,산업기사급
