군별,군사특기,관련분야코드,직간접구분
육군,K121101,C011,직접
육군,K121101,C012,직접
육군,K121101,C013,직접
육군,K121101,C014,직접
육군,K121101,C015,직접
육군,K121101,C016,직접
육군,K121102,C011,직접
육군,K121102,C012,직접
육군,K121102,C013,직접
육군,K121102,C014,직접
육군,K121102,C015,직접
육군,K121102,C016,직접
육군,K122101,3091,직접
육군,K122101,3092,직접
육군,K122101,3093,직접
육군,K122101,3121,직접
육군,K122101,3122,직접
육군,K122101,4011,직접
육군,K122101,4012,직접
육군,K122101,4013,직접
육군,K122101,4021,직접
육군,K122101,4022,직접
육군,K122101,4031,직접
육군,K122101,4032,직접
육군,K122101,4033,직접
육군,K122101,4034,직접
육군,K122101,5011,직접
육군,K122101,5012,직접
육군,K122101,7041,직접
육군,K122101,7051,직접
육군,K122101,7052,직접
육군,K122101,C011,직접
육군,K122101,C012,직접
육군,K122101,C013,직접
육군,K122101,C014,직접
육군,K122101,C015,직접
육군,K122101,C016,직접
육군,K122101,4041,간접
육군,K122101,4042,간접
육군,K122101,4091,간접
육군,K122101,7011,간접
육군,K122101,7012,간접
육군,K122101,7013,간접
육군,K122101,7031,간접
육군,K122102,4091,간접
육군,K122102,5011,간접
육군,K122102,5012,간접
육군,K122102,7011,간접
육군,K122102,7012,간접
육군,K122102,7013,간접
육군,K122102,7031,간접
육군,K122102,7032,간접
육군,K122102,7051,간접
육군,K122102,7052,간접
육군,K122102,C011,간접
육군,K122102,C015,간접
육군,K122102,3091,직접
육군,K122102,3092,직접
육군,K122102,3093,직접
육군,K122102,4011,직접
육군,K122102,4012,직접
육군,K122102,4013,직접
육군,K122102,4021,직접
육군,K122102,4022,직접
육군,K122102,4031,직접
육군,K122102,4032,직접
육군,K122102,4033,직접
육군,K122102,4034,직접
육군,K122102,7041,직접
육군,K122102,C012,직접
육군,K122102,C013,직접
육군,K122102,C014,직접
육군,K122102,C016,직접
육군,K122103,3091,직접
육군,K122103,3092,직접
육군,K122103,3093,직접
육군,K122103,3121,직접
육군,K122103,3122,직접
육군,K122103,4011,직접
육군,K122103,4012,직접
육군,K122103,4013,직접
육군,K122103,4031,직접
