코드,대분류,소분류
A16,화생방,화생방
A19,차량운전,차량운전
A20,차량정비,차량정비
A24,의장,의장병
AIR001,일반,운항관제
AIR002,일반,항공통제
AIR003,일반,대공포운용
AIR004,일반,단거리 유도무기 운용
AIR005,일반,중거리 유도무기 발사운용
AIR006,일반,중거리 유도무기 추적운용
AIR007,일반,장거리 유도무기 발사운용
AIR008,일반,장거리 유도무기 추적운용
AIR009,일반,기상관측
AIR010,일반,장비물자보급
AIR011,일반,유류보급
AIR012,일반,조리
AIR013,일반,항공운수
AIR014,일반,소방
AIR015,일반,재정
AIR016,일반,인사교육
AIR017,일반,항공 정보운영
AIR018,일반,특수정보
AIR019,일반,군사경찰
AIR020,전자계산,정보체계 관리
AIR021,전자계산,암호취급
AIR023,의무,항공의무
AIR024,기계,항공기 지상장비정비
AIR025,기계,항공기 기체정비
AIR026,기계,항공기 기관정비
AIR027,기계,항공기 제작정비
AIR028,기계,기계설비
AIR029,기계,항공기 초과저지
AIR031,차량운전,특수 차량운전
AIR032,차량운전,방공포 차량운전
AIR033,차량운전,공병장비운전
AIR034,차량운전,경장갑차 운전
AIR036,통신전자전기,지상레이더체계정비
AIR037,통신전자전기,무선통신체계정비
AIR038,통신전자전기,전술항공통신체계정비
AIR039,통신전자전기,유선통신체계정비
AIR040,통신전자전기,항공전자 장비정비
AIR041,통신전자전기,항공기유압전기정비
AIR042,통신전자전기,항공기 무기정비
AIR043,통신전자전기,항공 탄약정비
AIR044,통신전자전기,방공 유도무기 정비
AIR045,통신전자전기,전력설비
AIR046,공병,토목건축
AIR047,공병,환경
N46,건축/토목,공병
N4601,건축/토목,환경관리
N36,군악,군악
N909,군악,유급_군악
N4339,기관,보수
N4340,기관,가스터빈
N4342,기관,내연
N4343,기관,보일러
N48,수송,수송
N4802,수송,대형_수송
N4803,수송,중장비_수송
N911,수송,유급_수송
N3601,문화홍보,문화홍보
N49,의무,의무
N1111,일반,의장
N1112,일반,조타
N1113,일반,병기
N1128,일반,보급
N1138,일반,통정
N15,일반,전탐
N33,일반,통기
N803,일반,동반_군사경찰
N4344,전기,전기
N903,전기,유급_전자
N1102,전산,전산
N910,전산,유급_전산
N1126,전자,전자
N47,전자,전공
N1105,조리,조리
N908,조리,유급_조리
N907,통신,유급_통신
N1123,항공,항공조작
N1124,항공,항공
N4339,화학(화생방),화생방
N1164,SSU,심해잠수
N1162,UDT,특전
N905,UDT,유급_특전
M1901,공병,전투공병
M1902,공병,장비공병
M193,공병,시설공병
M1903,공병,공병
M6702,군악,군악
M1806,무기정비,자주포정비
M2102,무기정비,전차정비
M222,무기정비,상장정비병
M2307,무기정비,자주포
M2309,무기정비,폭발물처리
M2310,무기정비,화생방장비
M2311,무기정비,상장수리병
M2312,무기정비,대공무기
M2313,무기정비,대전차무기
M2314,무기정비,기계공작
M232,무기정비,총기수리병
M234,무기정비,화포수리병
M235,무기정비,전자 및 광학장비
M236,무기정비,탄약관리병
M237,무기정비,탄약검사/정비병
M239,무기정비,전차수리병
M2303,수송,운전
M2304,수송,차량정비
M1701,일반,기본보병
M1705,일반,박격포
M1706,일반,대전차화기
M1801,일반,야포
M1802,일반,방공무기운용
M1803,일반,측지
M1804,일반,계산
M1805,일반,자주포조종
M2001,일반,영상정보
M2101,일반,전차승무
M221,일반,상장승무병
M291,일반,병참정비병
M292,일반,보급병
M65,일반,군사경찰
M2701,정보통신,유·무선운용
M2702,정보통신,체계운용
M2703,정보통신,통기
M2704,정보통신,전탐
M2705,정보통신,전산
M2302,조리,급양
M1703,화학,화생방
M1702,수색,수색
