입영월,특기,접수인원,지원인원,커트라인
22년1월,건축/토목,2,17,86
22년2월,건축/토목,10,28,58
22년3월,건축/토목,6,31,84
22년5월,건축/토목,14,26,60
22년6월,건축/토목,15,15,56
22년8월,건축/토목,15,9,59
22년9월,건축/토목,35,3,56
22년10월,건축/토목,2 ,4 ,60
22년12월,건축/토목,20 ,2 ,80 
23년1월,건축/토목,25 ,12 ,56 
23년3월,건축/토목,15 ,30 ,56 
23년4월,건축/토목,21 ,29 ,55 
23년6월,건축/토목,21 ,11 ,56 
23년7월,건축/토목,3 ,9 ,0
23년8월,건축/토목,14 ,11 ,0
22년1월,기관,110 ,10 ,46
22년2월,기관,79 ,30,47
22년3월,기관,61,52,46
22년5월,기관,115,43,47
22년6월,기관,101,12,47
22년8월,기관,103,6,47
22년9월,기관,55,5,46
22년10월,기관,90 ,4 ,46
22년12월,기관,81 ,4 ,49 
23년1월,기관,89 ,8 ,50 
23년3월,기관,60 ,14 ,46 
23년4월,기관,91 ,9 ,48 
23년6월,기관,90 ,7 ,46 
23년7월,기관,39 ,4 ,0
23년8월,기관,41 ,3 ,0
22년1월,수송,132,293 ,75
22년2월,수송,114,341,77
22년3월,수송,160,552,78
22년5월,수송,55,349,80
22년6월,수송,108,248,76
22년8월,수송,31,119,78.5
22년9월,수송,93,109,71
22년10월,수송,45 ,68 ,71
22년12월,수송,20 ,44 ,71 
23년1월,수송,81 ,226 ,78 
23년3월,수송,45 ,389 ,81 
23년4월,수송,52 ,362 ,81 
23년6월,수송,62 ,182 ,78 
23년7월,수송,37 ,131 ,0
23년8월,수송,39 ,97 ,0
22년2월,의무,9,111,65 
22년3월,의무,10,151,66 
22년5월,의무,43,147,62 
22년6월,의무,21,78,61 
22년8월,의무,24,49,54 
22년9월,의무,80,31,47 
22년10월,의무,16 ,9 ,46 
22년12월,의무,32 ,11 ,51 
23년1월,의무,41 ,101 ,57 
23년3월,의무,60 ,172 ,61 
23년4월,의무,59 ,138 ,58 
23년6월,의무,50 ,74 ,46 
