입영월,특기,1차,최종,,,,,,,
22년8월,일반,70,202,,,,,,,
22년9월,일반,70,206,,,,,,,
22년10월,일반,70,176,,,,,,,
22년11월,일반,70,170,,,,,,,
22년12월,일반,70,175,,,,,,,
23년1월,일반,70,172,,,,,,,
23년2월,일반,70,172,,,,,,,
23년3월,일반,70,176,,,,,,,
23년4월,일반,70,171,,,,,,,
23년5월,일반,70,169,,,,,,,
23년6월,일반,70,175,,,,,,,
23년7월,일반,70,167,,,,,,,
23년8월,일반,70,0,,,,,,,
22년8월,수색,83,228,,,,,,,
22년9월,수색,83,228,,,,,,,
22년10월,수색,70,184,,,,,,,
22년11월,수색,74,202,,,,,,,
22년12월,수색,78,198,,,,,,,
23년1월,수색,85,202,,,,,,,
23년2월,수색,84,206,,,,,,,
23년3월,수색,87,202,,,,,,,
23년4월,수색,87,203,,,,,,,
23년5월,수색,84,200,,,,,,,
23년6월,수색,82,188,,,,,,,
23년7월,수색,84,200,,,,,,,
23년8월,수색,83,0,,,,,,,
22년8월,화학,42,192,,,,,,,
22년9월,화학,51,187.5,,,,,,,
22년10월,화학,43,0,,,,,,,
22년11월,화학,41,160.5,,,,,,,
22년12월,화학,55,173,,,,,,,
23년1월,화학,43,144.5,,,,,,,
23년2월,화학,43,146.5,,,,,,,
23년3월,화학,45,162,,,,,,,
23년4월,화학,49,158,,,,,,,
23년5월,화학,41,149,,,,,,,
23년6월,화학,43,156,,,,,,,
23년7월,화학,43,150,,,,,,,
23년8월,화학,47,0,,,,,,,
22년8월,공병,41,172.5,,,,,,,
22년9월,공병,46,185.5,,,,,,,
22년10월,공병,64,182.5,,,,,,,
22년11월,공병,41,156,,,,,,,
22년12월,공병,48,155.5,,,,,,,
23년1월,공병,41,153,,,,,,,
23년2월,공병,43,149,,,,,,,
23년3월,공병,41,153,,,,,,,
23년4월,공병,41,150,,,,,,,
23년5월,공병,45,155,,,,,,,
23년6월,공병,46,158,,,,,,,
23년7월,공병,43,170,,,,,,,
23년8월,공병,43,0,,,,,,,
22년8월,무기정비,41,176.5,,,,,,,
22년9월,무기정비,43,183,,,,,,,
22년10월,무기정비,45,162,,,,,,,
22년11월,무기정비,50,147.5,,,,,,,
22년12월,무기정비,46,199,,,,,,,
23년1월,무기정비,41,163,,,,,,,
23년2월,무기정비,43,155,,,,,,,
23년3월,무기정비,41,149.5,,,,,,,
23년4월,무기정비,45,162,,,,,,,
23년5월,무기정비,48,156,,,,,,,
23년6월,무기정비,45,156,,,,,,,
23년7월,무기정비,41,143,,,,,,,
23년8월,무기정비,41,0,,,,,,,
22년8월,정보통신,43,175.5,,,,,,,
22년9월,정보통신,41,179.5,,,,,,,
22년10월,정보통신,41,153,,,,,,,
22년11월,정보통신,47,160,,,,,,,
22년12월,정보통신,41,158.5,,,,,,,
23년1월,정보통신,41,138.5,,,,,,,
23년2월,정보통신,41,155,,,,,,,
23년3월,정보통신,41,147.5,,,,,,,
23년4월,정보통신,41,150,,,,,,,
23년5월,정보통신,41,146,,,,,,,
23년6월,정보통신,41,155,,,,,,,
23년7월,정보통신,0,0,,,,,,,
23년8월,정보통신,0,0,,,,,,,
22년8월,조리,41,178,,,,,,,
22년9월,조리,41,179.5,,,,,,,
22년10월,조리,43,149,,,,,,,
22년11월,조리,41,172,,,,,,,
22년12월,조리,43,153,,,,,,,
23년1월,조리,43,159,,,,,,,
23년2월,조리,42,157,,,,,,,
23년3월,조리,41,142,,,,,,,
23년4월,조리,41,143,,,,,,,
23년5월,조리,45,159,,,,,,,
23년6월,조리,41,151,,,,,,,
23년7월,조리,0,0,,,,,,,
23년8월,조리,0,0,,,,,,,
22년8월,수송,64,201,,,,,,,
22년9월,수송,66,201.5,,,,,,,
22년10월,수송,66,175,,,,,,,
22년11월,수송,66,177,,,,,,,
22년12월,수송,66,170,,,,,,,
23년1월,수송,63,164.5,,,,,,,
23년2월,수송,66,170.5,,,,,,,
23년3월,수송,66,168.5,,,,,,,
23년4월,수송,66,172,,,,,,,
23년5월,수송,66,166,,,,,,,
23년6월,수송,66,167,,,,,,,
23년7월,수송,66,166,,,,,,,
23년8월,수송,66,0,,,,,,,
